# Hate group DNS Blocklist
# - Based off 
#       - Southern Poverty Law Center's list of hate groups. 
#           - https://www.splcenter.org/fighting-hate
#           - https://www.splcenter.org/hate-map -- Click "Download Data"
#       - Center for Countering Digital Hate
#           - https://counterhate.co.uk
#       - Other resources:
#           - https://nowtoronto.com/news/canada-islamophobic-groups/
# 
# - URL: https://tch3.net/hg-dnsbl/blocklist.txt
#        
# - File format:
#   Name|website|category|date-added|date updated/checked|anything-else
#
# - I started this list ~2018 and only using 2016+ data
#
# - Lines beginning with 
#       ?  are groups/domains that are not in the list, but are on the SPLC site.
#       ?? domain needs to be confirmed, needs more detail, etc.
#       +  are newly added groups in the list.
#       -  are active groups which have been in previous year's lists, but 
#          are not in the current year's list
#       -- scheduled to be deleted with the next year's data
#       nx are domains which no longer exist (nxdomain) (removed from configs)
#       d  are domains which still exist, but are non-functional (remain in configs)
#       r  are groups which are no longer in the list
#       rc are reclaimed domains for other purposes, removed from configs
#
# Format:
#   group|domain|category|SPLC added|Last modified in DNSBL|notes
#
###########################################################################
# Anti-Immigrant
###########################################################################
American Border Patrol|americanborderpatrol.com|Anti-Immigrant|2018|2020|
American Border Patrol/Voices of Citizens Together|americanpatrol.com|Anti-Immigrant|2020|2020|
American Immigration Control Foundation/Americans for Immigration Control|immigrationcontrol.com|Anti-Immigrant|2018|2020|
American Immigration Control Foundation|americanimmigrationcontrol.com|Anti-Immigrant|2018|2020|
American Immigration Control Foundation|aicfoundation.com|Anti-Immigrant|2018|2020|
Americans for Legal Immigration (ALIPAC)|alipac.us|Anti-Immigrant|2018|2020|
## + AZ Patriots||Anti-Immigrant|2020|2020|none found; social media only
d Borderkeepers of Alabama|borderkeepersofalabama.org|Anti-Immigrant|2019|2020|
d California Coalition for Immigration Reform|ccir.net|Anti-Immigrant|2019|2020|
Californians for Population Stabilization|capsweb.org|Anti-Immigrant|2019|2020-06-17|
Center for Immigration Studies|cis.org|Anti-Immigrant|2018|2020|
Colorado Alliance for Immigration Reform|cairco.org|Anti-Immigrant|2020|
Dustin Inman Society|thedustininmansociety.org|Anti-Immigrant|2018|2020|
Federation for American Immigration Reform|fairus.org|Anti-Immigrant|2018|2020|
Federation for American Immigration Reform/The Stein Report|steinreport.com|Anti-Immigrant|2018|2020|
Floridans for Immigration Enforcement|flimen.org|Anti-Immigrant|2020|2020|
Help Save Maryland|helpsavemaryland.org|Anti-Immigrant|2020|2020|
Immigration Reform Law Institute|irli.org|Anti-Immigrant|2018|2020|
Legal Immigrants for America|golifa.com|Anti-Immigrant|2018|2020|
Mountain Minutemen|mountainminutemen.com|Anti-Immigrant|2020|2020|
