"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"211 Bootboys","New York","New York","","General Hate","","","2017"
"211 Bootboys","","Virginia","","General Hate","","Yes","2017"
"A Voice For Men","","Texas","","General Hate","","Yes","2017"
"a2z Publications","Las Vegas","Nevada","","General Hate","","","2017"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2017"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead","","","2017"
"ACT for America","Austin","Texas","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Baton Rouge","Louisiana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Boston","Massachusetts","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Calabasas","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Cheshire","Connecticut","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Cincinnati","Ohio","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Cleveland","Ohio","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Columbus","Ohio","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Corona","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Denver","Colorado","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Des Moines","Iowa","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Evansville","Indiana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Fayetteville","North Carolina","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Jacksonville","Florida","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Jonesboro","Arkansas","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Kalispell","Montana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Kansas City","Missouri","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Knoxville","Tennessee","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Lafayette","Indiana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Laguna Woods","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Leesburg","Virginia","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Lewisville","Texas","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Memphis","Tennessee","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Meridian","Idaho","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Minneapolis","Minnesota","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Nashua","New Hampshire","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Rapid City","South Dakota","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Silverton","Oregon","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Spokane Valley","Washington","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","St. Louis","Missouri","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Terre Haute","Indiana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Tucson","Arizona","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Virginia Beach","Virginia","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","Whitehall","Montana","ACT for America ","Anti-Muslim","","","2017"
"ACT for America","","Oklahoma","ACT for America ","Anti-Muslim","","Yes","2017"
"ACT for America","","Montana","ACT for America ","Anti-Muslim","","Yes","2017"
"ACT for America","","Florida","ACT for America ","Anti-Muslim","","Yes","2017"
"ACT for America","","Washington","ACT for America ","Anti-Muslim","","Yes","2017"
"ACT for America","","New York","ACT for America ","Anti-Muslim","","Yes","2017"
"ACTBAC NC","Snow Camp","North Carolina","","Neo-Confederate","","","2017"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate","","","2017"
"All Eyes On Egypt Bookstore","Newark","New Jersey","","Black Separatist","","","2017"
"All Eyes on Egipt Bookstore","Cleveland","Ohio","","Black Separatist","","","2017"
"All Eyes on Egipt Bookstore","Decatur","Georgia","","Black Separatist","","","2017"
"All Eyes on Egipt Bookstore","Detroit","Michigan","","Black Separatist","","","2017"
"All Eyes on Egipt Bookstore","Orlando","Florida","","Black Separatist","","","2017"
"All Eyes On Egipt Bookstore","Chicago","Illinois","","Black Separatist","","","2017"
"All Eyes On Egipt Bookstore","Brooklyn","New York","","Black Separatist","","","2017"
"All Eyes On Egypt Bookstore","Macon","Georgia","","Black Separatist","","","2017"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","","","2017"
"Alternative Right","Atlanta","Georgia","","White Nationalist","","","2017"
"AltRight Corporation","Alexandria","Virginia","","White Nationalist","","","2017"
"Ambassadors of Christ","Brooklyn","New York","","Black Separatist","","","2017"
"America First Committee","Lyons","Illinois","","Neo-Nazi","","","2017"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity","","","2017"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2017"
"American Children First","Torrance","California","","Anti-Immigrant","","","2017"
"American Christian Dixie Knights of the Ku Klux Klan","","Alabama","","Ku Klux Klan","","Yes","2017"
"American Clarion","Rapid City","South Dakota","","General Hate","","","2017"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","","","2017"
"American Confederate Knights of the Ku Klux Klan","","Tennessee","","Ku Klux Klan","","Yes","2017"
"American Defense Records","","Pennsylvania","","Hate Music","","Yes","2017"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2017"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2017"
"American Free Press","Upper Marlboro","Maryland","","General Hate","","","2017"
"American Freedom Alliance","Los Angeles","California","","Anti-Muslim","","","2017"
"American Freedom Defense Initiative","New York","New York","","Anti-Muslim","","","2017"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","","","2017"
"American Freedom Party","Granbury","Texas","American Freedom Party","White Nationalist","","","2017"
"American Freedom Party","Los Angeles","California","American Freedom Party","White Nationalist","","","2017"
"American Freedom Party","New York","New York","American Freedom Party","White Nationalist","","","2017"
"American Freedom Party","","New York","American Freedom Party","White Nationalist","","Yes","2017"
"American Freedom Party","","North Dakota","American Freedom Party","White Nationalist","","Yes","2017"
"American Freedom Party","","Montana","American Freedom Party","White Nationalist","","Yes","2017"
"American Freedom Party","","Indiana","American Freedom Party","White Nationalist","","Yes","2017"
"American Freedom Union","Hampton Township","Pennsylvania","","White Nationalist","","","2017"
"American Front","","Oregon","","Racist Skinhead","","Yes","2017"
"American Front","","Washington","","Racist Skinhead","","Yes","2017"
"American Guard","","Connecticut","","General Hate","","Yes","2017"
"American Guard","","Illinois","","General Hate","","Yes","2017"
"American Guard","","Missouri","","General Hate","","Yes","2017"
"American Guard","","Florida","","General Hate","","Yes","2017"
"American Guard","","Indiana","","General Hate","","Yes","2017"
"American Guard","","Michigan","","General Hate","","Yes","2017"
"American Guard","","Pennsylvania","","General Hate","","Yes","2017"
"American Guard","","North Carolina","","General Hate","","Yes","2017"
"American Guard","","Texas","","General Hate","","Yes","2017"
"American Guard","","Georgia","","General Hate","","Yes","2017"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2017"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2017"
"American Nazi Party","","California","","Neo-Nazi","","Yes","2017"
"American Patriot Brigade","","Oregon","","Racist Skinhead","","Yes","2017"
"American Public Policy Alliance","Washington","District of Columbia","","Anti-Muslim","","","2017"
